platform3,-4.943652,-8.2,1.60,0.07,1
platform4,1.5563478,-7.1,1.60,0.07,2
platform1,8.323302,-6.15,1.60,0.07,3
platform7,14.849527,-6.85,1.60,0.07,4
platform5,20.932705,-5.25,1.60,0.07,5
platform1,26.732706,-3.3500001,1.60,0.07,6
platform10,19.832706,-2.05,1.60,0.07,7
platform9,11.565747,0.05,1.60,0.07,8
platform10,3.6157475,1.7,1.60,0.07,9
platform11,-4.9342527,2.0,1.60,0.07,10
platform6,31.100693,-6.9,1.60,0.07,11
platform4,37.600693,-4.9,1.60,0.07,12
platform8,43.70069,-2.55,1.60,0.07,13
exit,55.348797,-10.45,1.30,0.60,15
pickupHealth,-5,-3,0.5,0.5,16
