#data/Backgrounds/Crystal/
pickupPistol,30.801811,-8.3,0.5,0.5,1
platform5,-1.9390122,-9.7,1.6,0.1,2
platform7,1.3070868,-9.7,1.6,0.1,3
platform6,-5.210289,-9.7,1.6,0.1,4
platform5,-8.483838,-9.7,1.6,0.1,5
platform7,-11.707386,-9.7,1.6,0.1,6
platform3,-14.945194,-9.7,1.6,0.1,7
platform4,-18.18532,-9.7,1.6,0.1,8
platform6,-21.437307,-9.7,1.6,0.1,9
platform5,-24.695856,-9.7,1.6,0.1,10
enemy,-24.676655,-8.650001, , ,11
enemy,-21.426655,-8.650001, , ,12
enemy,-18.126656,-8.650001, , ,13
enemy,-14.950026,-8.650001, , ,14
enemy,-11.56385,-8.650001, , ,15
enemy,-8.320067,-8.6, , ,16
enemy,-5.1464286,-8.650001, , ,17
enemy,-1.9980118,-8.650001, , ,18
platform5,4.5818057,-9.7,1.6,0.1,19
platform6,7.832539,-9.7,1.6,0.1,20
platform7,11.085387,-9.7,1.6,0.1,21
platform1,14.325595,-9.7,1.6,0.1,22
platform1,17.579863,-9.7,1.6,0.1,23
platform2,20.800514,-9.7,1.6,0.1,24
platform6,24.060524,-9.7,1.6,0.1,25
platform1,27.286192,-9.7,1.6,0.1,26
platform7,30.501474,-9.7,1.6,0.1,27
platform2,33.73216,-9.7,1.6,0.1,28
platform2,36.92602,-9.7,1.6,0.1,29
platform1,40.17602,-9.7,1.6,0.1,30
platform1,43.42602,-9.7,1.6,0.1,31
platform1,46.67602,-9.7,1.6,0.1,32
platform6,49.906048,-9.7,1.6,0.1,33
platform7,53.156048,-9.7,1.6,0.1,34
platform5,56.40286,-9.7,1.6,0.1,35
platform7,59.62642,-9.7,1.6,0.1,36
platform7,62.852375,-9.7,1.6,0.1,37
platform3,66.07333,-9.7,1.6,0.1,38
platform1,69.3199,-9.7,1.6,0.1,39
platform2,72.5864,-9.7,1.6,0.1,40
platform3,75.82911,-9.7,1.6,0.1,41
enemy,75.83998,-8.650001, , ,42
enemy,72.72107,-8.650001, , ,43
enemy,69.34975,-8.650001, , ,44
enemy,66.19206,-8.650001, , ,45
enemy,62.88207,-8.650001, , ,46
platform7,79.0732,-9.7,1.6,0.1,47
platform6,82.3232,-9.7,1.6,0.1,48
platform3,85.5732,-9.7,1.6,0.1,49
enemy,79.0232,-8.650001, , ,50
enemy,82.3732,-8.650001, , ,51
enemy,85.4732,-8.650001, , ,52
platform7,90.35473,-9.7,1.6,0.1,53
exit,112.99169,-11.8,1.30,0.60,54
platform2,95.425766,-9.650001,1.6,0.1,55
platform1,100.48267,-9.650001,1.6,0.1,56
platform7,109.99169,-12.2,1.6,0.1,57
platform2,112.940704,-9.45,1.6,0.1,58
platform1,116.09169,-12.2,1.6,0.1,59
enemy,112.89071,-8.5, , ,60
enemy,110.09169,-11.25, , ,61
enemy,115.791695,-11.3, , ,62
