#data/Backgrounds/Mine/
platform8,-27.687675,3.5,1.6,0.1,1
platform8,-13.5931225,3.3,1.6,0.1,2
platform8,-3.2301478,3.15,1.6,0.1,3
platform1,-9.614232,-6.4,1.6,0.1,4
platform2,-3.3794794,-6.4500003,1.6,0.1,5
platform7,-0.12947944,-6.4500003,1.6,0.1,6
platform3,3.1205206,-6.4500003,1.6,0.1,7
pickupLoot Chest,-10.319429,-5.4500003,0.5,0.5,8
pickupLoot Chest,-8.869429,-5.4500003,0.5,0.5,9
enemy,-3.4768043,-5.4500003, , ,10
platform11,5.139736,3.1000001,1.6,0.1,11
platform7,9.827168,-6.5,1.6,0.1,12
platform11,23.546806,-3.8,1.6,0.1,13
pickupLoot Treasure Sack,11.531294,6.55,0.5,0.5,14
pickupLoot Treasure Sack,16.484821,6.5,0.5,0.5,15
pickupLoot Treasure Sack,-0.28466138,-5.5,0.5,0.5,16
platform8,32.08452,-1.9,1.6,0.1,17
enemy,31.98452,-0.85, , ,18
platform10,37.00302,-1.9,1.6,0.1,19
platform10,42.78341,-1.95,1.6,0.1,20
enemy,42.78341,-0.95, , ,21
platform9,48.38341,-1.95,1.6,0.1,22
platform9,54.062565,-2.0,1.6,0.1,23
enemy,54.012566,-0.95, , ,24
platform8,59.899437,-2.0,1.6,0.1,25
platform8,65.45561,-2.0,1.6,0.1,26
platform8,70.93283,-2.0,1.6,0.1,27
platform11,76.11238,-2.0,1.6,0.1,28
enemy,65.45481,-1.0, , ,29
enemy,70.95481,-0.95, , ,30
pickupLoot Goblet,68.154816,-1.0500001,0.5,0.5,31
platform1,82.254814,-5.2000003,1.6,0.1,32
platform5,85.51186,-5.2000003,1.6,0.1,33
platform1,88.76186,-5.2000003,1.6,0.1,34
platform7,92.01589,-5.2000003,1.6,0.1,35
platform4,95.27249,-5.2000003,1.6,0.1,36
platform3,98.51902,-5.2000003,1.6,0.1,37
platform3,101.77837,-5.2000003,1.6,0.1,38
platform1,104.992195,-5.2000003,1.6,0.1,39
platform1,108.24453,-5.2000003,1.6,0.1,40
platform5,111.46799,-5.2000003,1.6,0.1,41
enemy,82.22112,-4.1, , ,42
enemy,92.05706,-4.15, , ,43
enemy,111.566734,-4.1, , ,44
platform8,92.084625,-0.2,1.6,0.1,45
platform9,95.22831,-0.2,1.6,0.1,46
platform10,98.334625,-0.2,1.6,0.1,47
enemy,91.82831,0.85, , ,48
pickupHealth,75.441666,-1.0500001,0.5,0.5,49
pickupShield,76.99167,-1.0500001,0.5,0.5,50
pickupLoot Chest,95.04167,0.8,0.5,0.5,51
pickupHealth,110.88045,-4.2000003,0.5,0.5,52
pickupShield,112.38045,-4.15,0.5,0.5,53
pickupLoot Goblet,95.34978,-4.1,0.5,0.5,54
platform1,117.34512,-7.7000003,1.6,0.1,55
platform5,123.7324,-10.5,1.6,0.1,56
platform2,128.40787,-12.0,1.6,0.1,57
platform4,131.65659,-12.0,1.6,0.1,58
platform5,134.89435,-12.0,1.6,0.1,59
platform7,138.10135,-12.0,1.6,0.1,60
enemy,128.41661,-10.95, , ,61
enemy,138.05182,-10.95, , ,62
exit,145.90181,-11.95,1.30,0.60,63
pickupLoot Bag,133.29147,-11.1,0.5,0.5,64
pickupLoot Coins,13.994164,4.75,0.5,0.5,65
