platform6,5.55,-7.75,1.60,0.07,1
platform2,14.45081,-5.9,1.60,0.07,2
platform1,22.601625,-4.05,1.60,0.07,3
crumblingPlatform,27.552433,-1.1,1.60,0.07,4
crumblingPlatform,33.75324,0.3,1.60,0.07,5
enemy,36.954044,-9.900001, , ,6
enemy,39.05305,-9.85, , ,7
enemy,41.353054,-9.900001, , ,8
pickupHealth,38.953053,-3.95,0.5,0.5,9
pickupHealth,39.603054,-4.5,0.5,0.5,10
pickupShield,40.203053,-3.1000001,0.5,0.5,11
pickupShield,38.55305,-5.2000003,0.5,0.5,12
pickupAmmo,38.55305,-2.9,0.5,0.5,13
pickupAmmo,41.403053,-2.8500001,0.5,0.5,14
